age,weight_kg,height_cm,bmi,gender,goal,experience,workout_type,duration_min,calories_burned,weekly_frequency
54,85.7,179.1,26.72,male,flexibility,intermediate,Yoga + Stretching,44,165.9,4
44,97.3,171.3,33.16,female,endurance,intermediate,Running + Cycling,48,542.9,4
30,73.0,177.4,23.2,male,endurance,beginner,Running + Cycling,33,301.1,3
58,85.0,176.1,27.41,male,flexibility,advanced,Yoga + Stretching,56,204.7,6
23,108.3,167.5,38.6,female,muscle_gain,intermediate,Strength Training,41,383.0,4
36,119.1,183.9,35.22,female,muscle_gain,intermediate,Strength Training,58,558.4,4
54,81.9,187.9,23.2,male,endurance,beginner,Running + Cycling,27,243.2,3
34,48.7,150.7,21.44,female,muscle_gain,beginner,Strength Training,41,163.1,3
38,58.7,160.4,22.82,male,weight_loss,intermediate,Cardio + HIIT,53,298.7,5
26,46.8,185.7,13.57,male,weight_loss,intermediate,Cardio + HIIT,53,253.0,4
26,100.5,169.3,35.06,female,weight_loss,beginner,Cardio + HIIT,38,389.5,4
39,73.2,183.1,21.83,male,general_fitness,beginner,Mixed Training,30,192.2,3
51,91.1,167.3,32.55,male,muscle_gain,beginner,Strength Training,27,183.5,3
55,86.9,169.5,30.25,male,endurance,advanced,Running + Cycling,55,522.8,5
39,51.9,157.9,20.82,female,muscle_gain,advanced,Strength Training,70,289.1,6
18,79.3,162.9,29.88,male,weight_loss,advanced,Cardio + HIIT,58,487.5,5
37,63.7,180.3,19.6,female,muscle_gain,beginner,Strength Training,25,128.1,3
17,80.6,171.7,27.34,female,flexibility,advanced,Yoga + Stretching,71,304.7,5
39,62.3,188.7,17.5,male,endurance,beginner,Running + Cycling,42,312.4,4
59,116.4,192.6,31.38,female,general_fitness,intermediate,Mixed Training,47,428.8,5
45,59.8,177.1,19.07,female,endurance,advanced,Running + Cycling,56,387.2,5
53,126.7,187.9,35.89,male,endurance,beginner,Running + Cycling,42,588.7,4
17,80.4,165.3,29.42,male,endurance,intermediate,Running + Cycling,55,588.7,4
36,116.9,170.7,40.12,male,general_fitness,beginner,Mixed Training,34,353.4,3
48,98.4,185.6,28.57,female,flexibility,beginner,Yoga + Stretching,32,143.3,4
27,107.5,169.3,37.51,female,weight_loss,intermediate,Cardio + HIIT,51,556.5,4
37,110.3,179.4,34.27,male,muscle_gain,intermediate,Strength Training,55,487.8,4
59,87.9,159.3,34.64,male,endurance,advanced,Running + Cycling,66,620.0,6
40,91.2,180.0,28.15,male,endurance,intermediate,Running + Cycling,50,541.5,5
64,88.7,193.1,23.79,female,weight_loss,intermediate,Cardio + HIIT,59,434.4,5
42,95.0,193.4,25.4,male,general_fitness,beginner,Mixed Training,43,352.0,4
57,47.5,186.2,13.7,female,general_fitness,beginner,Mixed Training,25,94.2,3
43,78.6,187.3,22.41,male,weight_loss,advanced,Cardio + HIIT,57,418.9,5
31,96.5,177.9,30.49,female,general_fitness,beginner,Mixed Training,36,316.9,3
30,95.8,179.2,29.83,male,weight_loss,intermediate,Cardio + HIIT,48,459.8,4
62,112.4,156.7,45.77,female,weight_loss,beginner,Cardio + HIIT,45,424.9,3
59,100.7,172.2,33.96,male,weight_loss,intermediate,Cardio + HIIT,44,378.8,4
18,129.3,172.5,43.45,female,weight_loss,intermediate,Cardio + HIIT,40,548.2,4
52,69.1,197.9,17.64,male,flexibility,beginner,Yoga + Stretching,34,104.5,3
22,75.5,171.6,25.64,male,weight_loss,beginner,Cardio + HIIT,41,321.9,4
