age,weight_kg,height_cm,bmi,gender,goal,experience,workout_type,duration_min,calories_burned,weekly_frequency,bmi_category,age_group,fitness_score
54,85.7,179.1,26.72,male,flexibility,intermediate,Yoga + Stretching,44,165.9,4,Overweight,Middle-aged,104.6
44,97.3,171.3,33.16,female,endurance,intermediate,Running + Cycling,48,542.9,4,Obese,Middle-aged,123.0
30,73.0,177.4,23.2,male,endurance,beginner,Running + Cycling,33,301.1,3,Normal,Adult,79.6
58,85.0,176.1,27.41,male,flexibility,advanced,Yoga + Stretching,56,204.7,6,Overweight,Senior,147.5
23,108.3,167.5,38.6,female,muscle_gain,intermediate,Strength Training,41,383.0,4,Obese,Young,119.5
36,119.1,183.9,35.22,female,muscle_gain,intermediate,Strength Training,58,558.4,4,Obese,Adult,128.0
54,81.9,187.9,23.2,male,endurance,beginner,Running + Cycling,27,243.2,3,Normal,Middle-aged,70.8
34,48.7,150.7,21.44,female,muscle_gain,beginner,Strength Training,41,163.1,3,Normal,Adult,69.8
38,58.7,160.4,22.82,male,weight_loss,intermediate,Cardio + HIIT,53,298.7,5,Normal,Adult,122.4
26,46.8,185.7,13.57,male,weight_loss,intermediate,Cardio + HIIT,53,253.0,4,Underweight,Adult,117.8
26,100.5,169.3,35.06,female,weight_loss,beginner,Cardio + HIIT,38,389.5,4,Obese,Adult,85.0
39,73.2,183.1,21.83,male,general_fitness,beginner,Mixed Training,30,192.2,3,Normal,Adult,67.2
51,91.1,167.3,32.55,male,muscle_gain,beginner,Strength Training,27,183.5,3,Obese,Middle-aged,64.8
55,86.9,169.5,30.25,male,endurance,advanced,Running + Cycling,55,522.8,5,Obese,Senior,159.5
39,51.9,157.9,20.82,female,muscle_gain,advanced,Strength Training,70,289.1,6,Normal,Adult,161.9
18,79.3,162.9,29.88,male,weight_loss,advanced,Cardio + HIIT,58,487.5,5,Overweight,Young,161.0
37,63.7,180.3,19.6,female,muscle_gain,beginner,Strength Training,25,128.1,3,Normal,Adult,58.3
17,80.6,171.7,27.34,female,flexibility,advanced,Yoga + Stretching,71,304.7,5,Overweight,Young,163.5
39,62.3,188.7,17.5,male,endurance,beginner,Running + Cycling,42,312.4,4,Underweight,Adult,85.2
59,116.4,192.6,31.38,female,general_fitness,intermediate,Mixed Training,47,428.8,5,Obese,Senior,122.5
45,59.8,177.1,19.07,female,endurance,advanced,Running + Cycling,56,387.2,5,Normal,Middle-aged,160.0
53,126.7,187.9,35.89,male,endurance,beginner,Running + Cycling,42,588.7,4,Obese,Middle-aged,87.0
17,80.4,165.3,29.42,male,endurance,intermediate,Running + Cycling,55,588.7,4,Overweight,Young,126.5
36,116.9,170.7,40.12,male,general_fitness,beginner,Mixed Training,34,353.4,3,Obese,Adult,83.0
48,98.4,185.6,28.57,female,flexibility,beginner,Yoga + Stretching,32,143.3,4,Overweight,Middle-aged,63.3
27,107.5,169.3,37.51,female,weight_loss,intermediate,Cardio + HIIT,51,556.5,4,Obese,Adult,124.5
37,110.3,179.4,34.27,male,muscle_gain,intermediate,Strength Training,55,487.8,4,Obese,Adult,126.5
59,87.9,159.3,34.64,male,endurance,advanced,Running + Cycling,66,620.0,6,Obese,Senior,165.0
40,91.2,180.0,28.15,male,endurance,intermediate,Running + Cycling,50,541.5,5,Overweight,Middle-aged,124.0
64,88.7,193.1,23.79,female,weight_loss,intermediate,Cardio + HIIT,59,434.4,5,Normal,Senior,128.5
